Date,Symbol,Open,High,Low,Close,Volume From,Volume To,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume From,ETH_Volume To,GDAX_Open,GDAX_High,GDAX_Low,GDAX_Close,GDAX_Volume From,GDAX_Volume To
2017-07-01 01-PM,BTCUSD,2477.97,2478.96,2444.44,2444.44,168.69,415839.42,274.48,274.48,265.56,267.8,4361.64,1174650.85,2488.43,2488.43,2454.4,2454.43,280.28,693254.01
2017-07-01 02-PM,BTCUSD,2444.44,2463.6,2437.26,2448.99,119.59,292801.9,267.8,268.7,262.32,264.5,4254.37,1130303.13,2454.43,2473.93,2450.83,2459.35,289.42,712864.8
2017-07-01 03-PM,BTCUSD,2448.99,2465.95,2438.99,2457.84,109.53,268333.15,264.5,272,263.5,271.44,3239.56,867886.9,2459.35,2475,2450,2467.83,276.82,682105.41
2017-07-01 04-PM,BTCUSD,2457.84,2458.69,2437.49,2456.45,129.94,318032.63,271.44,271.5,264.62,267.4,3184.12,855130.69,2467.83,2469.99,2450,2460.01,330.01,811494.29
2017-07-01 05-PM,BTCUSD,2456.45,2456.46,2427.38,2437.52,286.64,698528.49,267.4,268.15,262,262,8377.99,2217705.49,2460.01,2460.68,2428.03,2445.99,370.26,904722.49
2017-07-01 06-PM,BTCUSD,2437.52,2443.36,2397.1,2407.96,524.99,1266721.48,262,266.21,252.15,255.91,11857.53,3057396.34,2445.99,2455.86,2414,2425.94,536.06,1303397.79
2017-07-01 07-PM,BTCUSD,2407.96,2426.54,2394.34,2419.98,239.84,577974.73,255.91,260,251,256.94,9130.56,2337372,2425.94,2437.86,2406.44,2435.99,461.2,1118954.38
2017-07-01 08-PM,BTCUSD,2419.98,2425.42,2372.29,2372.29,364.7,873592.85,256.94,261,251.2,252,6326.34,1615506.75,2435.99,2438.95,2404.61,2408.25,671.04,1623098.44
2017-07-01 09-PM,BTCUSD,2372.29,2393,2364.01,2380.28,366.64,870356.07,252,256.69,250.56,252,5775.41,1460255.58,2408.25,2420,2401,2416.62,632.73,1525686.34
2017-07-01 10-PM,BTCUSD,2380.28,2402.22,2369.06,2386.01,257.18,613147.29,252,260,251.5,260,2847.84,725311.38,2416.62,2425,2400,2424.99,344.87,832381.61
2017-07-01 11-AM,BTCUSD,2491.97,2494.93,2483.32,2494.87,163.92,407837.9,277.97,278.14,271,273,2789.32,765758.55,2505.56,2513.38,2495.12,2509.17,114.6,287000.32
2017-07-01 11-PM,BTCUSD,2386.01,2399.15,2373.37,2392.95,252.71,603104.62,260,262.45,253.21,256,5948.31,1540685.18,2424.99,2431.94,2414.8,2423.63,355.01,860453.28
2017-07-01 12-PM,BTCUSD,2494.87,2494.87,2470.86,2477.97,80.93,200771.78,273,274.48,268,274.48,3420.84,925008.27,2509.17,2512.87,2484.99,2488.43,157.36,393142.5
2017-07-02 01-AM,BTCUSD,2358,2395.15,2348.96,2380,167.87,398594.82,256.1,259.25,254,258.75,1488.29,382642.06,2391.87,2419.9,2385,2409.9,370.78,891186.2
2017-07-02 01-PM,BTCUSD,2409.9,2415.54,2400.28,2403.43,227.57,547226.69,260.35,263.31,259,259.6,2393.44,624060.98,2440.87,2450.35,2429.9,2435.62,269.83,657791.96
2017-07-02 02-AM,BTCUSD,2380,2385.01,2349.08,2367.6,234.6,554356.81,258.75,259.15,250.11,250.99,4581.59,1159678.31,2409.9,2411,2385.52,2407.81,387.75,929614.06
2017-07-02 02-PM,BTCUSD,2403.43,2412.89,2400.28,2406.26,181.09,435634.25,259.6,259.88,256.19,259.02,3201.52,828125.59,2435.62,2444.29,2425.43,2442.99,221.08,538656.77
2017-07-02 03-AM,BTCUSD,2367.6,2392.8,2362.26,2386.87,242.19,576427.6,250.99,256.25,250.99,253,1422.42,361545.94,2407.81,2410,2397.63,2404.99,200.61,482431.83
2017-07-02 03-PM,BTCUSD,2406.26,2453.81,2400.47,2433,268.42,651279.6,259.02,264.87,259,263.21,4421.16,1155031.8,2442.99,2463.86,2442.99,2463.86,393.42,964758.4
2017-07-02 04-AM,BTCUSD,2386.87,2386.88,2370,2378.96,137.96,328034.23,253,255.53,250,253.95,2516.65,633915.38,2404.99,2412,2398.36,2412,202.17,486296.9
