Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-11 05-PM,BTCUSD,9185.9,9499.2,9173.9,9499.2,703.19,6608504.91
2018-03-11 04-PM,BTCUSD,9055,9265.4,9054.4,9185.9,330.28,3036406.14
2018-03-11 03-PM,BTCUSD,9181.9,9257.4,9041.1,9055,553.7,5053916.66
2018-03-11 02-PM,BTCUSD,9210,9317.6,9120,9181.9,286.34,2633780.74
2018-03-11 01-PM,BTCUSD,9178,9383.5,9161.1,9210,645.1,5979284.35
2018-03-11 12-PM,BTCUSD,9066.2,9300,9012.1,9178,822.92,7542931.17
2018-03-11 11-AM,BTCUSD,8693.6,9104.6,8634.6,9066.2,830.61,7396622.42
2018-03-11 10-AM,BTCUSD,8610.1,8699.7,8550.1,8693.6,353.9,3043460.36
2018-03-11 09-AM,BTCUSD,8770.6,8776.7,8545,8610.1,504.31,4361451.87
2018-03-11 08-AM,BTCUSD,8683.1,8831,8683.1,8770.6,242.1,2119615.32
2018-03-11 07-AM,BTCUSD,8781,8797.9,8620,8683.1,265.11,2307121.41
2018-03-11 06-AM,BTCUSD,8810.1,8826.9,8740,8781,371.44,3262775.28
2018-03-11 05-AM,BTCUSD,8671.2,8834.7,8589.9,8810.1,448.43,3914063.99
2018-03-11 04-AM,BTCUSD,8593.9,8700.1,8546.9,8671.2,307.11,2653843.22
2018-03-11 03-AM,BTCUSD,8705.6,8708,8500,8593.9,471.03,4040779.11
2018-03-11 02-AM,BTCUSD,8560,8717.2,8502.1,8705.6,599.72,5173641.8
2018-03-11 01-AM,BTCUSD,8462,8644.7,8459.1,8560,766.73,6570293.83
2018-03-11 12-AM,BTCUSD,8752,8785.6,8434.1,8462,1053.09,9021886.83
2018-03-10 11-PM,BTCUSD,8830,8867.5,8705.1,8752,524.57,4602679.57
2018-03-10 10-PM,BTCUSD,8800,8893.8,8653.6,8830,878.72,7728115.49
2018-03-10 09-PM,BTCUSD,8846.6,8850,8653,8800,840.86,7373919.85
2018-03-10 08-PM,BTCUSD,9122.5,9128.3,8804,8846.6,914.76,8173967.3
2018-03-10 07-PM,BTCUSD,9088.9,9152.7,8985,9122.5,472.94,4293112.33
2018-03-10 06-PM,BTCUSD,9169,9169,8941.9,9088.9,817.37,7396424.75
2018-03-10 05-PM,BTCUSD,9410,9424.9,9108.9,9169,695.58,6414989.51
2018-03-10 04-PM,BTCUSD,9370,9429.2,9355.8,9410,243.96,2291543.04
2018-03-10 03-PM,BTCUSD,9449,9489.7,9350,9370,276.96,2609978.67
2018-03-10 02-PM,BTCUSD,9293,9494.9,9282,9449,324.99,3067801.49
2018-03-10 01-PM,BTCUSD,9305,9344.8,9231.1,9293,189.01,1754894.59
2018-03-10 12-PM,BTCUSD,9364.5,9370.2,9260,9305,163.01,1518554.75
2018-03-10 11-AM,BTCUSD,9349.9,9400,9288,9364.5,148.68,1389939.53
2018-03-10 10-AM,BTCUSD,9250,9350,9164.6,9349.9,280.88,2598873.71
2018-03-10 09-AM,BTCUSD,9350.3,9379.9,9235,9250,331.44,3080559.25
2018-03-10 08-AM,BTCUSD,9366.7,9455.1,9340.5,9350.3,247.77,2330073.27
2018-03-10 07-AM,BTCUSD,9450,9478.8,9335.7,9366.7,282.31,2658628.2
2018-03-10 06-AM,BTCUSD,9361,9515.2,9360.1,9450,484.0,4582094.74
2018-03-10 05-AM,BTCUSD,9323.3,9387.2,9230.4,9361,228.28,2127619.31
2018-03-10 04-AM,BTCUSD,9265,9350,9217.5,9323.3,150.96,1402117.39
2018-03-10 03-AM,BTCUSD,9291.4,9302.3,9120,9265,567.13,5213772.26
2018-03-10 02-AM,BTCUSD,9311.7,9370,9245,9291.4,423.27,3934554.69
2018-03-10 01-AM,BTCUSD,9314.5,9451.7,9254.7,9311.7,973.59,9118603.02
2018-03-10 12-AM,BTCUSD,9244.5,9340.1,9210,9314.5,552.31,5128589.42
2018-03-09 11-PM,BTCUSD,9217.2,9359,9155.2,9244.5,665.39,6169769.95
2018-03-09 10-PM,BTCUSD,8993,9249,8941.1,9217.2,1016.86,9266681.63
2018-03-09 09-PM,BTCUSD,8999.7,9150,8940.1,8993,646.31,5851187.73
2018-03-09 08-PM,BTCUSD,8791,9026.1,8740.3,8999.7,483.34,4282943.27
2018-03-09 07-PM,BTCUSD,8900.2,8900.2,8613.6,8791,542.84,4736870.08
2018-03-09 06-PM,BTCUSD,8755.3,8960,8751,8900.2,417.6,3706139.14
2018-03-09 05-PM,BTCUSD,8708.4,8867.9,8688,8755.3,538.24,4723941.15
2018-03-09 04-PM,BTCUSD,8971.2,9098.7,8658,8708.4,1094.41,9620812.65
2018-03-09 03-PM,BTCUSD,9154.3,9170,8912.2,8971.2,686.1,6210060.41
2018-03-09 02-PM,BTCUSD,8929,9168.5,8929,9154.3,546.67,4973168.36
2018-03-09 01-PM,BTCUSD,8969.7,9014.4,8830,8929,463.48,4142644.91
2018-03-09 12-PM,BTCUSD,8955.6,9062.7,8892.6,8969.7,636.7,5718851.7
2018-03-09 11-AM,BTCUSD,8770.1,8983.1,8693.9,8955.6,528.29,4662040.49
2018-03-09 10-AM,BTCUSD,8580,8820,8469.9,8770.1,502.39,4357053.56
2018-03-09 09-AM,BTCUSD,8699.5,8749.8,8410.1,8580,803.9,6899735.13
2018-03-09 08-AM,BTCUSD,8748.8,8855.9,8623.9,8699.5,648.34,5670712.51
2018-03-09 07-AM,BTCUSD,8890.1,8916.9,8709.9,8748.8,598.2,5270687.75
2018-03-09 06-AM,BTCUSD,8518.8,8912.2,8400,8890.1,1345.35,11543135.21
2018-03-09 05-AM,BTCUSD,8640.8,8777.8,8455.1,8518.8,1141.32,9841326.38
2018-03-09 04-AM,BTCUSD,9005.6,9010,8586,8640.8,2135.58,18732814.76
2018-03-09 03-AM,BTCUSD,9025.3,9050,8940.4,9005.6,659.26,5932553.21
2018-03-09 02-AM,BTCUSD,9110.1,9116.1,8913.9,9025.3,1499.3,13518277.19
2018-03-09 01-AM,BTCUSD,9372.7,9372.7,8934.5,9110.1,1471.22,13465521.89
2018-03-09 12-AM,BTCUSD,9279.9,9427.9,9279.9,9372.7,380.92,3567137.31
2018-03-08 11-PM,BTCUSD,9251.4,9351,9251.4,9279.9,209.48,1952182.47
2018-03-08 10-PM,BTCUSD,9327.3,9405.5,9217.2,9251.4,379.88,3528509.28
2018-03-08 09-PM,BTCUSD,9388.5,9472.9,9314,9327.3,495.1,4653970.21
2018-03-08 08-PM,BTCUSD,9376.7,9398,9267,9388.5,341.91,3192635.67
2018-03-08 07-PM,BTCUSD,9379,9392.9,9256.3,9376.7,349.7,3260745.52
2018-03-08 06-PM,BTCUSD,9280,9435,9168,9379,841.81,7839578.32
2018-03-08 05-PM,BTCUSD,9440,9450,9000,9280,2105.09,19433900.73
2018-03-08 04-PM,BTCUSD,9932.4,9941,9295,9440,1150.66,10978855.0
2018-03-08 03-PM,BTCUSD,9788.8,9950,9784.9,9932.4,176.29,1742983.97
2018-03-08 02-PM,BTCUSD,9926.2,9949.9,9755.5,9788.8,242.33,2381625.5
2018-03-08 01-PM,BTCUSD,9771.9,9949.9,9660,9926.2,371.32,3635301.94
2018-03-08 12-PM,BTCUSD,9936.2,9988.6,9718.2,9771.9,386.76,3795067.66
2018-03-08 11-AM,BTCUSD,10026,10056.4,9930,9936.2,177.62,1771684.18
2018-03-08 10-AM,BTCUSD,10066.2,10082.2,9935.3,10026,202.24,2025569.09
2018-03-08 09-AM,BTCUSD,9919.9,10120.7,9915,10066.2,423.59,4255972.58
