Date,Symbol,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume From,ETH_Volume To
2018-03-11 05-PM,ETHUSD,708,723.05,707.08,723.05,759.76,542802.99
2018-03-11 04-PM,ETHUSD,699.53,712.2,699.53,708,701.25,496069.27
2018-03-11 03-PM,ETHUSD,711,716.8,697.2,699.53,1059.63,749721.58
2018-03-11 02-PM,ETHUSD,710.39,717.2,706,711,672.13,478509.69
2018-03-11 01-PM,ETHUSD,712.12,721.39,708.38,710.39,1719.22,1229955.95
2018-03-11 12-PM,ETHUSD,705.27,718.99,703.79,712.12,2040.51,1453920.66
2018-03-11 11-AM,ETHUSD,685.86,707.9,681.62,705.27,1486.49,1039607.86
2018-03-11 10-AM,ETHUSD,683.03,686.4,675.6,685.86,1391.52,948141.47
2018-03-11 09-AM,ETHUSD,693.5,693.5,681.54,683.03,484.19,333409.65
2018-03-11 08-AM,ETHUSD,686.37,694.7,686.37,693.5,464.66,321372.72
2018-03-11 07-AM,ETHUSD,691.91,692.99,683.7,686.37,1782.13,1225150.46
2018-03-11 06-AM,ETHUSD,694.3,696.42,690.07,691.91,746.55,517478.17
2018-03-11 05-AM,ETHUSD,679.2,694.3,676.65,694.3,1875.13,1286002.56
2018-03-11 04-AM,ETHUSD,675.65,680,671.02,679.2,2822.39,1913959.03
2018-03-11 03-AM,ETHUSD,679.57,680.84,668.48,675.65,2022.38,1362879.7
2018-03-11 02-AM,ETHUSD,672.7,681.27,667.75,679.57,2402.71,1622206.39
2018-03-11 01-AM,ETHUSD,661.2,676.38,660,672.7,3283.31,2207339.42
2018-03-11 12-AM,ETHUSD,680.7,680.8,655.53,661.2,3491.57,2327049.14
2018-03-10 11-PM,ETHUSD,687.25,687.25,677.5,680.7,2060.33,1406361.58
2018-03-10 10-PM,ETHUSD,679.06,688.89,675,687.25,1807.95,1231655.17
2018-03-10 09-PM,ETHUSD,689,689,672.17,679.06,5301.56,3609611.17
2018-03-10 08-PM,ETHUSD,713.93,714.33,650.01,689,6649.88,4583005.47
2018-03-10 07-PM,ETHUSD,710.03,715,701.15,713.93,1291.88,913067.77
2018-03-10 06-PM,ETHUSD,715.89,715.89,701,710.03,2521.62,1785373.21
2018-03-10 05-PM,ETHUSD,735.61,735.61,708.61,715.89,2112.35,1521300.28
2018-03-10 04-PM,ETHUSD,733.28,738.31,730.92,735.61,1071.37,787321.48
2018-03-10 03-PM,ETHUSD,739.05,739.46,731.38,733.28,416.73,306916.39
2018-03-10 02-PM,ETHUSD,727.7,743.23,726.27,739.05,1170.94,862376.36
2018-03-10 01-PM,ETHUSD,729.07,731,722.61,727.7,293.03,212878.97
2018-03-10 12-PM,ETHUSD,732.28,733.99,724.2,729.07,343.02,249640.77
2018-03-10 11-AM,ETHUSD,728.42,734.9,724.2,732.28,214.54,156382.8
2018-03-10 10-AM,ETHUSD,725.1,729.19,719.5,728.42,393.7,284794.17
2018-03-10 09-AM,ETHUSD,732,733.4,725,725.1,872.33,634892.18
2018-03-10 08-AM,ETHUSD,733.38,735.1,730.56,732,791.32,580932.39
2018-03-10 07-AM,ETHUSD,738.89,739.83,728.61,733.38,812.25,596410.12
2018-03-10 06-AM,ETHUSD,735,745.84,734.12,738.89,1046.37,776226.43
2018-03-10 05-AM,ETHUSD,733.9,735.27,724.44,735,697.08,508960.31
2018-03-10 04-AM,ETHUSD,733.5,740,680.26,733.9,4280.88,3105518.75
2018-03-10 03-AM,ETHUSD,736.77,736.77,721.7,733.5,728.54,529933.2
2018-03-10 02-AM,ETHUSD,741.9,749,731,736.77,2236.02,1651756.46
