Date,Symbol,Open,High,Low,Close,Volume From,Volume To,GDAX_Open,GDAX_High,GDAX_Low,GDAX_Close,GDAX_Volume From,GDAX_Volume To,Polo_Open,Polo_High,Polo_Low,Polo_Close,Polo_Volume From,Polo_Volume To
2017-07-01 11-AM,BTCUSD,2491.97,2494.93,2483.32,2494.87,163.92,407837.9,2505.56,2513.38,2495.12,2509.17,114.6,287000.32,2419.89,2434.9,2411.12,2423,157.67,382304.9
2017-07-01 12-PM,BTCUSD,2494.87,2494.87,2470.86,2477.97,80.93,200771.78,2509.17,2512.87,2484.99,2488.43,157.36,393142.5,2423,2430,2397.7,2399.61,232.35,560716.33
2017-07-01 01-PM,BTCUSD,2477.97,2478.96,2444.44,2444.44,168.69,415839.42,2488.43,2488.43,2454.4,2454.43,280.28,693254.01,2399.61,2408.4,2368.38,2368.38,385.57,923464.38
2017-07-01 02-PM,BTCUSD,2444.44,2463.6,2437.26,2448.99,119.59,292801.9,2454.43,2473.93,2450.83,2459.35,289.42,712864.8,2368.38,2387.33,2362.89,2372.2,545.39,1294891.42
2017-07-01 03-PM,BTCUSD,2448.99,2465.95,2438.99,2457.84,109.53,268333.15,2459.35,2475,2450,2467.83,276.82,682105.41,2372.2,2406.13,2372.2,2404.04,314.57,752045.79
2017-07-01 04-PM,BTCUSD,2457.84,2458.69,2437.49,2456.45,129.94,318032.63,2467.83,2469.99,2450,2460.01,330.01,811494.29,2404.04,2404.05,2385.35,2393.38,319.28,764528.73
2017-07-01 05-PM,BTCUSD,2456.45,2456.46,2427.38,2437.52,286.64,698528.49,2460.01,2460.68,2428.03,2445.99,370.26,904722.49,2393.38,2395.9,2353.52,2377.95,495.99,1174145.93
2017-07-01 06-PM,BTCUSD,2437.52,2443.36,2397.1,2407.96,524.99,1266721.48,2445.99,2455.86,2414,2425.94,536.06,1303397.79,2377.95,2380,2326,2350,899.49,2111540.36
2017-07-01 07-PM,BTCUSD,2407.96,2426.54,2394.34,2419.98,239.84,577974.73,2425.94,2437.86,2406.44,2435.99,461.2,1118954.38,2350,2355,2290,2337.55,1116.77,2597697.1
2017-07-01 08-PM,BTCUSD,2419.98,2425.42,2372.29,2372.29,364.7,873592.85,2435.99,2438.95,2404.61,2408.25,671.04,1623098.44,2337.55,2339.13,2295,2304.11,967.06,2243756.08
2017-07-01 09-PM,BTCUSD,2372.29,2393,2364.01,2380.28,366.64,870356.07,2408.25,2420,2401,2416.62,632.73,1525686.34,2304.11,2331.74,2284,2310.39,995.72,2293935.3
2017-07-01 10-PM,BTCUSD,2380.28,2402.22,2369.06,2386.01,257.18,613147.29,2416.62,2425,2400,2424.99,344.87,832381.61,2310.39,2331,2297.17,2330.01,447.46,1036223.52
2017-07-01 11-PM,BTCUSD,2386.01,2399.15,2373.37,2392.95,252.71,603104.62,2424.99,2431.94,2414.8,2423.63,355.01,860453.28,2330.01,2356.01,2328.36,2346.54,599.67,1405847.38
2017-07-02 12-AM,BTCUSD,2392.95,2400.27,2344,2358,298.91,710482.47,2423.63,2426,2389.99,2391.87,565.71,1362475.58,2346.54,2348.38,2305,2307.32,507.64,1181281.47
2017-07-02 01-AM,BTCUSD,2358,2395.15,2348.96,2380,167.87,398594.82,2391.87,2419.9,2385,2409.9,370.78,891186.2,2307.32,2332.78,2305,2327,381.51,884307.07
2017-07-02 02-AM,BTCUSD,2380,2385.01,2349.08,2367.6,234.6,554356.81,2409.9,2411,2385.52,2407.81,387.75,929614.06,2327,2327,2295.41,2319.01,458.23,1057202.45
2017-07-02 03-AM,BTCUSD,2367.6,2392.8,2362.26,2386.87,242.19,576427.6,2407.81,2410,2397.63,2404.99,200.61,482431.83,2319.01,2320,2300,2305.47,415.44,959072.01
2017-07-02 04-AM,BTCUSD,2386.87,2386.88,2370,2378.96,137.96,328034.23,2404.99,2412,2398.36,2412,202.17,486296.9,2305.47,2317.1,2303.69,2315,250.16,577434.99
2017-07-02 05-AM,BTCUSD,2378.96,2411,2376.5,2407,207.71,497531.73,2412,2439.99,2411.99,2439.97,354.39,861781.42,2315,2349,2310,2348.45,528.89,1232785.79
2017-07-02 06-AM,BTCUSD,2407,2415.66,2381.39,2393.09,112.64,270009.25,2439.97,2439.99,2415.19,2421.55,138.82,337239.24,2348.45,2350,2322.8,2330.63,270.7,632340.26
2017-07-02 07-AM,BTCUSD,2393.09,2418.1,2388.04,2418.1,231.2,556767.71,2421.55,2439.97,2418.33,2431.95,219.87,534770.54,2330.63,2350,2326.99,2350,293.56,686396.06
2017-07-02 08-AM,BTCUSD,2418.1,2435,2406.72,2432,178.82,433515.96,2431.95,2461.99,2428.98,2461.99,307.95,754201.39,2350,2397.7,2348.55,2394.86,778.84,1851182.29
2017-07-02 09-AM,BTCUSD,2432,2440,2418.75,2422,189.24,460272.83,2461.99,2461.99,2450,2457.54,214.1,526054.35,2394.86,2396.13,2362,2362,397.92,947870.59
